¹=50;Interesting info=400
1;"# Dumping data for table (username|user|users|password)"
2;"# Dumping data for table"
3;"# phpMyAdmin MySQL-Dump" "INSERT INTO" -"the"
4;"# phpMyAdmin MySQL-Dump" filetype:txt
5;"#mysql dump" filetype:sql 21232f297a57a5a743894a0e4a801fc3
6;"#mysql dump" filetype:sql
7;"Certificate Practice Statement" inurl:(PDF | DOC)
8;"Cisco PIX Security Appliance Software Version" + "Serial Number" + "show ver" -inurl 
9;"Generated by phpSystem"
10;"HTTP_FROM=googlebot"  googlebot.com "Server_Software="
11;"Host Vulnerability Summary Report"
12;"Index of" / "chat/logs"
13;"Installed Objects Scanner" inurl:default.asp
14;"MacHTTP" filetype:log inurl:machttp.log
15;"Mecury Version" "Infastructure Group"
16;"Microsoft (R) Windows * (TM) Version * DrWtsn32 Copyright (C)" ext:log
17;"Most Submitted Forms and Scripts" "this section"
18;"Network Vulnerability Assessment Report"
19;"Request Details" "Control Tree" "Server Variables"
20;"Running in Child mode"
21;"Thank you for your order" +receipt
22;"These statistics were produced by getstats"
23;"This is a Shareaza Node"
24;"This report was generated by WebLog"
25;"This summary was generated by wwwstat"
26;"allow_call_time_pass_reference" "PATH_INFO"
27;"cacheserverreport for" "This analysis was produced by calamaris"
28;"not for distribution" confidential
29;"not for public release" -.edu -.gov -.mil
30;"phone  * * *" "address *" "e-mail" intitle:"curriculum vitae"
31;"phpMyAdmin" "running on" inurl:"main.php"
32;"robots.txt" "Disallow:" filetype:txt
33;"sets mode: +p"
34;"sets mode: +s"
35;(intitle:"PRTG Traffic Grapher" inurl:"allsensors")|(intitle:"PRTG Traffic Grapher - Monitoring Results")
36;(intitle:WebStatistica inurl:main.php) | (intitle:"WebSTATISTICA server") -inurl:statsoft -inurl:statsoftsa -inurl:statsoftinc.com -edu -software -rob
37;(inurl:"robot.txt" | inurl:"robots.txt" ) intext:disallow filetype:txt
38;+":8080" +":3128" +":80" filetype:txt
39;#ÇÍÀ×!
40;+intext:"AWSTATS DATA FILE" filetype:txt
41;-site:php.net -"The PHP Group" inurl:source  inurl:url ext:pHp
42;94FBR "ADOBE PHOTOSHOP"
43;allinurl:"weblog/referrers"
44;ext:(doc | pdf | xls | txt | ps | rtf | odt | sxw | psw | ppt | pps | xml) (intext:confidential salary | intext:"budget approved") inurl:confidential
45;ext:log "Software: Microsoft Internet Information Services *.*"
46;ext:reg "username=*" putty
47;ext:txt "Final encryption key"
48;filetype: log inurl:"access.log" +intext:"HTTP/1.1"
49;filetype:asp DBQ=" * Server.MapPath("*.mdb")
50;filetype:blt "buddylist"
