�=50;Vulnerabilities=400
1; "Jax Calendar v1.34 by Jack (tR), www.jtr.de/scripting/php"
2; "Powered By Azadi Network" 
3;" ActiveKB v1.5 Copyright Â©"
4;" Powered by JTL-Shop 2" 
5;" Powered by Pie Cart Pro "
6;" Powered by Xpoze "
7;" created by creato.biz "
8;"& Spider Friendly by Crack"
9;"(C) This site is NITROpowered!"
10;"(C) by CyberTeddy"
11;"/index.php?id=cmp-noticias"
12;"/nuke/htmltonuke.php" - "htmltonuke.php"
13;"/nuke/iframe.php"
14;"/subcat.php?cate_id="
15;"100% | 50% | 25%" "Back to gallery" inurl:"show.php?imageid="
16;"1999-2004 FuseTalk Inc" -site:fusetalk.com
17;"2003 DUware All Rights Reserved"
18;"2004-2005 ReloadCMS Team."
19;"2005  www.frank-karau.de" | "2006  www.frank-karau.de"
20;"2005 SugarCRM Inc. All Rights Reserved" "Powered By SugarCRM"
21;"2006 by www.mani-stats-reader.de.vu"
22;"2007 BookmarkX script"
23;"2007 RADIOZAZA www.radiozaza.de? istek hatti Version 2.5" 
24;"2007 Rafal Kucharski"
25;"2009 Jorp"
26;"ATutor 1.6.4" 
27;"Absolute Poll Manager XE"
28;"AcmlmBoard v1.A2"
29;"Active Webcam Page" inurl:8080
30;"ActualAnalyzer Lite (free) 2.78"+"Copyright Â© 2006 ActualScripts" 
31;"Affiliate Network Pro"
32;"All Rights Reserved. Powered by DieselScripts.com" 
33;"AlumniServer project"
34;"Aurora CMS"
35;"Barbecued by sNews"
36;"Basado en Spirate"
37;"Based on DoceboLMS 2.0"
38;"Betrieben mit Serendipity 1.0.3"
39;"BioScripts"
40;"BlackBoard 1.5.1-f | Ãƒâ€šÃ‚Â© 2003-4 by Yves Goergen"
41;"BlogMe PHP created by Gamma Scripts"
42;"BosDates Calendar System " "powered by BosDates v3.2 by BosDev"
43;"Browse with Interactive Map"
44;"Bu Site Ticimax E-Ticaret yazılımı ile hazırlanmıştır."
45;"By Geeklog" "Created this page in" +seconds +powered 
46;"By Geeklog" "Created this page in" +seconds +powered inurl:public_html 
