�=50;vulnerable systems=400
1;"CGI-Telnet Unit-x Team Connected to *.com" OR "CGI-Telnet Unit-x Team Connected to"
2;"File Upload Manager v1.3" "rename to"
3;"Mail-it Now!" intitle:"Contact form" | inurl:contact.php
4;"Please re-enter your password It must match exactly"
5;"Powered By: Simplicity oF Upload" inurl:download.php | inurl:upload.php
6;"Powered by FlexPHPNews" inurl:news | inurl:press
7;"Powered by FunkBoard"
8;"Powered by Gravity Board"
9;"Powered by Land Down Under 601"
10;"Powered by PHPFM" filetype:php -username
11;"Powered by SilverNews"
12;"Powered by Xcomic"
13;"Powered by: vBulletin Version 1.1.5"
14;"Select a database to view" intitle:"filemaker pro"
15;"There are no Administrators Accounts" inurl:admin.php -mysql_fetch_row
16;"Warning:" "Cannot execute a blank command in"
17;"Welcome to Administration" "General" "Local Domains" "SMTP Authentication" inurl:admin
18;"Welcome to Intranet"
19;"Welcome to PHP-Nuke" congratulations
20;"Welcome to the Prestige Web-Based Configurator"
21;"YaBB SE Dev Team"
22;"[ phpinfo ]  [ php.ini ]  [ cpu ]  [ mem ]  [ users ]  [ tmp ]  [ delete ]"
23;"adding new user" inurl:addnewuser -"there are no domains"
24;"create the Super User" "now by clicking here"
25;"e107.org 2002/2003" inurl:forum_post.php?nt
26;"ftp://" "www.eastgame.net"
27;"html allowed" guestbook
28;"index of /" ( upload.cfm | upload.asp | upload.php | upload.cgi | upload.jsp | upload.pl )
29;"maxwebportal" inurl:"default" "snitz forums" +"homepage" -intitle:maxwebportal
30;"powered by YellDL"
31;"powered by mailgust"
32;"powered by my little forum"
33;"r57shell 1.4"
34;"r57shell"
35;"safe_mode: *  PHP version: *  cURL: *  MySQL: *  MSSQL: *  PostgreSQL: *  Oracle: *"
36;"set up the administrator user" inurl:pivot
37;"www.*.com - c99shell" OR "www.*.net - c99shell" OR "www.*.org - c99shell"
38;"you can now password" | "this is a special page only seen by you. your profile visitors"  inurl:imchaos
39;("Indexed.By"|"Monitored.By") hAcxFtpScan
40;(intitle:"SHOUTcast Administrator")|(intext:"U SHOUTcast D.N.A.S. Status")
41;(intitle:"WordPress ÃƒÂ¢Ã¢â€šÂ¬Ã‚Âº Setup Configuration File")|(inurl:"setup-config.php?step=")
42;(inurl:81/cgi-bin/.cobalt/)  | (intext:"Welcome to the Cobalt RaQ")
43;allintext:"fs-admin.php"
44;allinurl:"index.php" "site=sglinks"
45;ext:asp "powered by DUForum" inurl:(messages|details|login|default|register) -site:duware.com
46;ext:asp inurl:DUgallery intitle:"3.0" -site:dugall
47;ezBOO "Administrator Panel" -cvs
48;filetype:cgi inurl:"Web_Store.cgi"
49;filetype:cgi inurl:"fileman.cgi"
50;filetype:mdb "standard jet" (password | username | user | pass)
51;filetype:mdb inurl:"news/news"
52;filetype:php HAXPLORER "Server Files Browser"
53;filetype:php inurl:"viewfile" -"index.php" -"idfil
54;filetype:pl -intext:"/usr/bin/perl" inurl:webcal (inurl:webcal | inurl:add | inurl:delete | inurl:config)
55;filetype:pl intitle:"Ultraboard Setup"
56;intext:"Warning: * am able * write ** configuration file" "includes/configure.php" -Forums
57;intitle:"ASP FileMan" Resend -site:iisworks.com
58;intitle:"CJ Link Out V1"
59;intitle:"Control panel" "Control Panel Login" ArticleLive inurl:admin -demo
60;intitle:"Directory Listing" "tree view"
61;intitle:"ERROR: The requested URL could not be retrieved" "While trying to retrieve the URL" "The following error was encountered:"
62;intitle:"Gallery in Configuration mode"
63;intitle:"Gateway Configuration Menu"
64;intitle:"Horde :: My Portal" -"[Tickets"
65;intitle:"Index of /" modified php.exe
66;intitle:"Mail Server CMailServer Webmail" "5.2"
67;intitle:"MvBlog powered"
68;intitle:"PHP Explorer" ext:php (inurl:phpexplorer.php |  inurl:list.php | inurl:browse.php)
69;intitle:"PHP Shell *" "Enable stderr" filetype:php
70;intitle:"PHPstat" intext:"Browser" intext:"PHPstat setup"
